,Titles,Description,Tags,Date
11,Kaze no Tani no Nausicaä,"['i', 'went', 'to', 'see', 'this', 'film', 'in', 'theaters', 'during', 'the', 'ghiblifest', '2024', 'where', 'i', 'also', 'rewatched', 'spirited', 'away', 'this', 'film', 'blew', 'me', 'away', 'that', 'despite', 'it', 'being', 'ghiblis', 'first', 'im', 'hesitant', 'to', 'say', 'it', 'may', 'be', 'the', 'best', 'ive', 'seen', 'so', 'far', 'i', 'loved', 'the', 'world', 'they', 'had', 'set', 'up', 'with', 'the', 'forest', 'and', 'different', 'nations', 'the', 'ways', 'of', 'transportation', 'via', 'wind', 'the', 'characters', 'and', 'their', 'diehard', 'dedication', 'to', 'them', 'the', 'beautiful', 'soundtrack', 'the', 'captivating', 'story', 'i', 'loved', 'all', 'of', 'it', 'it', 'feels', 'on', 'par', 'with', 'spirited', 'away', 'yet', 'i', 'want', 'to', 'lean', 'more', 'towards', 'this', 'film', 'for', 'its', 'more', 'interesting', 'world', 'both', 'were', 'spectacular']",Recommended,20-Aug-24
12,Tonari no Totoro,"['my', 'neighbor', 'totoro', 'is', 'probably', 'the', 'most', 'inoffensive', 'thing', 'ive', 'seen', 'in', 'anime', 'its', 'the', 'definition', 'of', 'the', 'phrase', 'really', 'good', 'and', 'nothing', 'beyond', 'or', 'less', 'than', 'for', 'ghibli', 'films', 'it', 'sits', 'comfortably', 'between', 'the', 'meh', 'stuff', 'and', 'the', 'spectacular', 'stuff', 'as', 'this', 'movie', 'has', 'its', 'realistic', 'and', 'endearing', 'characters', 'embracing', 'their', 'childhood', 'wonder', 'if', 'theres', 'one', 'thing', 'that', 'really', 'stands', 'out', 'about', 'this', 'ghibli', 'movie', 'its', 'the', 'characters', 'very', 'realistic', 'movement', 'on', 'paper', 'it', 'sounds', 'odd', 'to', 'point', 'out', 'but', 'seeing', 'a', 'scene', 'of', 'the', 'children', 'running', 'playing', 'or', 'chasing', 'you', 'could', 'spot', 'out', 'how', 'realistic', 'they', 'made', 'it', 'sporadic', 'giddy', 'and', 'pure', 'energy']",Recommended,20-Aug-24
13,Golden Time,"['its', 'as', 'if', 'im', 'fighting', 'with', 'my', 'past', 'self', 'over', 'the', 'person', 'called', 'tada', 'banri', 'golden', 'time', 'what', 'a', 'wonderful', 'series', 'it', 'was', 'such', 'a', 'wonderful', 'experience', 'there', 'are', 'countless', 'anime', 'where', 'the', 'story', 'is', 'set', 'in', 'school', 'but', 'theres', 'only', 'a', 'few', 'that', 'are', 'set', 'in', 'college', 'universities', 'golden', 'time', 'is', 'one', 'of', 'those', 'and', 'its', 'somewhat', 'different', 'from', 'the', 'general', 'animes', 'at', 'first', 'i', 'thought', 'it', 'gonna', 'be', 'a', 'basic', 'drama', 'however', 'once', 'i', 'started', 'the', 'show', 'i', 'couldnt', 'drop', 'it', 'the', 'supernatural', 'element', 'aka', 'the', 'ghost', 'of', 'banri', 'as', 'one', 'might', 'be', 'a', 'bit', 'odd', 'but', 'i', 'later', 'found', 'out', 'it', 'was', 'taken', 'from', 'japanese']",Recommended,20-Aug-24
14,Watashi no Shiawase na Kekkon,"['a', 'shoujo', 'story', 'inspired', 'by', 'cinderella', 'blended', 'with', 'magic', 'powers', 'and', 'demons', 'set', 'in', 'an', 'urban', 'fantasytype', '1910s', 'japan', 'watashi', 'no', 'shiawase', 'na', 'kekkon', 'is', 'a', 'slowburn', 'show', 'that', 'eventually', 'results', 'in', 'an', 'adequate', 'payoff', 'for', 'a', 'oneseason', 'anime', 'the', 'story', 'revolves', 'around', 'the', 'main', 'couple', 'the', 'woman', 'miyo', 'is', 'a', 'young', 'noble', 'who', 'has', 'suffered', 'intense', 'emotional', 'and', 'physical', 'abuse', 'since', 'the', 'death', 'of', 'her', 'mother', 'due', 'to', 'being', 'born', 'without', 'magical', 'talent', 'in', 'a', 'family', 'with', 'such', 'power', 'she', 'is', 'deemed', 'useless', 'to', 'the', 'family', 'particularly', 'when', 'it', 'comes', 'to', 'the', 'succession', 'her', 'original', 'intended', 'is', 'betrothed', 'to', 'her', 'younger', 'sister', 'and', 'she', 'herself']",Recommended,20-Aug-24
15,Uzaki-chan wa Asobitai!,"['uzakichan', 'wants', 'to', 'hang', 'out', 'is', 'a', 'really', 'amusing', 'and', 'playful', 'show', 'that', 'is', 'all', 'about', 'the', 'comedic', 'and', 'sometimes', 'romantic', 'character', 'dynamic', 'of', 'the', 'dangerously', 'extroverted', 'hana', 'uzaki', 'and', 'the', 'highly', 'introverted', 'shinichi', 'sakurai', 'each', 'episode', 'has', 'uzaki', 'try', 'to', 'drag', 'shinichi', 'out', 'of', 'his', 'mentality', 'of', 'wanting', 'to', 'do', 'everything', 'alone', 'by', 'inviting', 'him', 'to', 'do', 'something', 'together', 'the', 'humor', 'comes', 'from', 'both', 'characters', 'being', 'stubborn', 'in', 'their', 'own', 'wants', 'which', 'creates', 'misunderstandings', 'phrasing', 'that', 'lead', 'to', 'wacky', 'hijinks', 'playful', 'arguing', 'and', 'teasing', 'this', 'all', 'leading', 'to', 'the', 'two', 'getting', 'ever', 'so', 'slightly', 'closer', 'to', 'one', 'another', 'as', 'the', 'show']",Recommended,20-Aug-24
16,Kaijuu 8-gou,"['kaiju', 'no', '8', 'starts', 'off', 'with', 'a', 'carefree', 'somewhattroll', 'vibe', 'and', 'if', 'firsttime', 'watchers', 'did', 'not', 'read', 'the', 'manga', 'or', 'even', 'the', 'synopsis', 'they’d', 'probably', 'be', 'somewhat', 'surprised', 'by', 'the', 'anime’s', 'energy', 'shift', 'at', 'least', 'this', 'was', 'the', 'case', 'for', 'me', 'the', 'mc', 'is', 'already', '31', 'when', 'he', 'is', 'first', 'introduced', 'and', 'is', 'often', 'called', '“old', 'man”', 'in', 'the', 'anime', 'people', 'have', 'said', 'that', 'the', 'mc', 'barely', 'goes', 'through', 'any', 'character', 'development', 'but', 'that', 'is', 'likely', 'because', 'he', 'already', 'is', '31', 'and', 'his', 'character', 'development', 'is', 'likely', 'through', 'his', 'levelingup', 'his', 'strengthabilities', 'and', 'not', 'necessarily', 'through', 'his', 'personality', 'at', 'least', 'not', 'within', 'the', 'very', 'first', 'season']",Recommended,20-Aug-24
17,Mamahaha no Tsurego ga Motokano datta,"['é', 'a', 'melhor', 'coisa', 'já', 'feita', 'não', 'é', 'o', 'melhor', 'do', 'gênero', 'ou', 'pelo', 'menos', 'uma', 'referência', 'não', 'entretanto', 'é', 'mais', 'que', 'o', 'suficiente', 'um', 'anime', 'leve', 'besta', 'com', 'momentos', 'engraçados', 'e', 'personagens', 'secundários', 'que', 'não', 'desapontam', 'é', 'interessante', 'por', 'trazer', 'esse', 'aspecto', 'mais', 'sexual', 'tendo', 'em', 'vista', 'que', 'não', 'são', 'crianças', 'faz', 'o', 'que', 'se', 'espera', 'mas', 'nunca', 'vai', 'ser', 'o', 'favorito', 'de', 'ninguém', 'um', 'romance', 'com', 'preocupações', 'adolescentes', 'e', 'não', 'infantis', 'historia', 'relativamente', 'superficial', 'mas', 'ninguém', 'devia', 'assistir', 'esperando', 'achar', 'um', 'bom', 'drama', 'vi', 'críticas', 'a', 'respeito', 'da', 'animação', 'mas', 'não', 'achei', 'problemática', 'ou', 'ruim', 'algumas', 'coisas', 'absurdas', 'ao', 'ponto', 'de', 'parecerem', 'fetiches', 'do', 'autor', 'sim', 'mas', 'são', 'levadas', 'de', 'forma', 'humorada']",Recommended,20-Aug-24
18,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"['um', 'anime', 'vazio', 'tenta', 'ser', 'romântico', 'tenta', 'ser', 'misterioso', 'tenta', 'ser', 'dramático', 'falha', 'em', 'todos', 'os', 'quesitos', 'a', 'todo', 'momento', 'que', 'parece', 'ter', 'acabado', 'um', 'arco', 'você', 'espera', 'algum', 'tipo', 'de', 'tempo', 'de', 'respiro', 'e', 'desenvolvimento', 'no', 'relacionamento', 'do', 'protagonista', 'obviamente', 'nada', 'disso', 'acontece', 'a', 'historia', 'do', 'anime', 'é', 'em', 'suma', 'o', 'protagonista', 'apagando', 'incêndios', 'sobrenaturais', 'enquanto', 'ignora', 'qualquer', 'tipo', 'de', 'desenvolvimento', 'próprio', 'se', 'você', 'se', 'importa', 'com', 'romance', 'veja', 'apenas', 'os', '3', 'primeiros', 'episódios', 'e', 'ignore', 'todo', 'o', 'resto', 'é', 'patético', 'como', 'a', 'protagonista', 'feminina', 'continuava', 'sendo', 'jogada', 'de', 'escanteio', 'pra', 'promover', 'o', 'desenrolar', 'do', 'plot', 'de', 'outros', 'personagens', 'que', 'francamente', 'são', 'desinteressantes', 'é', 'um', 'pseudoromance', 'pseudomisterioso', 'com', 'pseudoadultos']",Not Recommended,20-Aug-24
19,Kimi ni Todoke 2nd Season,"['at', 'the', 'start', 'of', 'anime', 'youll', 'probably', 'feel', 'anger', 'because', 'all', 'of', 'a', 'sudden', 'she', 'becomes', 'something', 'she', 'tried', 'not', 'to', 'be', 'in', '1st', 'season', 'person', 'who', 'let', 'other', 'misunderstand', 'and', 'doesnt', 'speak', 'her', 'mind', 'there', 'will', 'be', 'a', 'lot', 'of', 'misunderstandings', 'and', 'lack', 'of', 'talk', 'so', 'that', 'is', 'where', 'i', 'lost', 'my', 'mind', 'and', 'it', 'will', 'be', 'like', 'that', 'for', '78', 'episodes', 'till', 'they', 'solve', 'all', 'misunderstanding', 'and', 'finally', 'start', 'to', 'think', 'and', 'listen', 'to', 'each', 'other', 'later', 'on', 'they', 'will', 'be', 'so', 'cute', 'and', 'so', 'sweet', 'so', 'basically', 'youll', 'feel', 'so', 'stressed', 'watching', 'first', '78', 'episodes', 'but', 'later', 'on', 'you', 'will', 'see', 'what', 'you', 'came', 'to', 'see', 'cute']",Recommended,20-Aug-24
20,Miru Tights,"['i', 'found', 'this', 'anime', 'through', 'memes', 'i', 'was', 'curious', 'and', 'checked', 'it', 'out', 'it', 'took', 'me', 'under', 'an', 'hour', 'because', 'each', 'episode', 'is', '4', 'minutes', 'there', 'is', 'pretty', 'much', 'nothing', 'to', 'talk', 'about', '3', 'episodes', 'are', 'separate', 'stories', 'from', 'a', 'teacher', 'trying', 'to', 'have', 'sex', 'with', 'a', 'student', 'for', 'him', 'staring', 'at', 'her', 'ass', 'to', 'childhood', 'friends', 'hanging', 'out', 'with', 'asmr', 'ear', 'cleaning', 'the', '9', 'other', 'episodes', 'basically', 'follows', '2', 'lesbians', 'with', 'foot', 'fetishes', 'similar', 'to', 'getsuyoubi', 'no', 'tawawa', 'which', 'follows', 'this', 'similar', 'style', 'of', 'story', 'they', 'might', 'as', 'well', 'have', 'just', 'made', 'porn', 'the', 'characters', 'have', 'no', 'personality', 'there', 'is', 'not', 'really', 'a', 'story']",Not Recommended,20-Aug-24
21,Hazurewaku no "Joutai Ijou Skill" de Saikyou ni Natta Ore ga Subete wo Juurin suru made,"['if', 'you', 'love', 'isekai', 'this', 'aint', 'bad', 'and', 'somewhat', 'similar', 'vibes', 'to', 'arifureta', 'but', 'this', 'guy', 'is', 'unique', 'op', 'like', 'he', 'still', 'needs', 'to', 'think', 'carefully', 'in', 'order', 'to', 'become', 'op', 'he', 'does', 'not', 'have', 'a', 'harem', 'and', 'currently', 'sticks', 'to', 'one', 'based', 'on', 'episode', '6', 'so', 'far', 'which', 'is', 'nice', 'i', 'dont', 'mind', 'the', 'cgi', 'it', 'kinda', 'blends', 'well', 'sometimes', 'haha', 'key', 'pointers', 'you', 'love', 'isekai', 'go', 'watch', 'it', 'you', 'love', 'revenge', 'plot', 'lets', 'go', 'not', 'a', 'harem', 'mc', 'suffers', 'at', 'first', 'but', 'gains', 'power', 'after', 'i', 'honestly', 'like', 'the', 'bgm', 'its', 'magical', 'character', 'design', 'its', 'kinda', 'ok', 'normal', 'fight', 'scenes', 'so', 'far', 'is', 'ok', 'too', 'but', 'would', 'still', 'recommend']",Recommended,20-Aug-24
22,Bishoujo Senshi Sailor Moon R,"['this', 'season', 'feels', 'like', 'a', 'step', 'down', 'from', 'the', 'first', 'season', 'of', 'sailor', 'moon', 'ill', 'break', 'this', 'review', 'down', 'into', 'the', 'three', 'parts', 'that', 'warrant', 'separate', 'attention', 'first', 'and', 'easiest', 'the', 'filler', 'excluding', 'the', 'makai', 'tree', 'arc', 'there', 'were', 'a', 'couple', 'of', 'episodes', 'in', 'here', 'that', 'reminded', 'me', 'of', 'the', 'goofy', 'designs', 'and', 'plots', 'from', 's1', 'which', 'were', 'what', 'made', 'the', 'series', 'so', 'fun', 'to', 'watch', 'shout', 'out', 'to', 'a', 'perfumethemed', 'droid', 'from', 'early', 'in', 'this', 'season', 'and', 'a', 'dessert', 'themed', 'one', 'that', 'transforms', 'people', 'into', 'tasty', 'snacks', 'majin', 'buustyle', 'the', 'trouble', 'is', 'that', 'the', 'filler', 'in', 'this', 'season', 'rarely', 'had', 'that', 'kind', 'of', 'fun', 'and']",Mixed Feelings,20-Aug-24
23,Koe no Katachi,"['this', 'movie', 'does', 'quite', 'a', 'lot', 'of', 'great', 'things', 'but', 'also', 'has', 'some', 'elements', 'which', 'makes', 'me', 'bring', 'down', 'the', 'score', 'to', 'a', '6', 'instead', 'even', 'if', 'i', 'was', 'hooked', 'throughout', 'the', 'whole', 'movie', 'positives', 'for', 'starters', 'i', 'think', 'ishida', 'had', 'amazing', 'character', 'development', 'that', 'wasn’t', 'necessarily', 'forced', 'and', 'preachy', 'but', 'genuinely', 'believable', 'he', 'really', 'seemed', 'regretful', 'of', 'his', 'actions', 'and', 'you', 'feel', 'for', 'him', 'as', 'he', 'tries', 'to', 'atone', 'for', 'what', 'he', 'did', 'in', 'the', 'past', 'i', 'also', 'like', 'yuzuru', 'for', 'this', 'exact', 'reason', 'too', 'as', 'she', 'was', 'the', 'only', 'character', 'who', 'truly', 'challenged', 'ishida', 'on', 'his', 'goal', 'where', 'he', 'was', 'tested', 'by', 'her', 'whether', 'he']",Mixed Feelings,20-Aug-24
24,Nagi no Asu kara,"['nagi', 'no', 'asu', 'kara', 'looks', 'great', 'but', 'its', 'really', 'bad', 'like', 'this', 'show', 'fools', 'you', 'that', 'it', 'will', 'be', 'an', 'intersting', 'mix', 'of', 'slice', 'of', 'life', 'and', 'mystery', 'story', 'i', 'mean', 'the', 'setting', 'is', 'interesting', 'the', 'character', 'design', 'is', 'pretty', 'and', 'everything', 'feels', 'fine', 'at', 'first', 'but', 'damn', 'do', 'the', 'first', 'few', 'episodes', 'introducing', 'these', 'under', 'the', 'sea', 'folks', 'fool', 'you', 'i', 'even', 'remember', 'this', 'one', 'sister', 'side', 'character', 'getting', 'her', 'little', 'arc', 'in', 'the', 'real', 'world', 'and', 'i', 'really', 'thought', 'this', 'show', 'was', 'doing', 'something', 'to', 'make', 'every', 'character', 'precious', 'and', 'make', 'its', 'world', 'feel', 'real', 'but', 'then', 'somehow', 'everything', 'goes', 'to', 'sht', 'and', 'its', 'really']",Not Recommended,20-Aug-24
25,Akatsuki no Yona,"['yona', 'of', 'the', 'dawn', '–', 'a', 'butch', 'princess', 'using', 'everyone', 'around', 'her', 'yona', 'of', 'the', 'dawn']",Not Recommended,20-Aug-24
26,Sand Land: The Series,"['it', 'was', 'a', 'rather', 'good', 'anime', 'had', 'some', 'more', 'emotional', 'moments', 'especially', 'when', 'dealing', 'with', 'the', 'sheriffs', 'background', 'while', 'its', 'more', 'on', 'the', 'childish', 'side', 'especially', 'as', 'far', 'as', 'humor', 'goes', 'there', 'is', 'still', 'plenty', 'to', 'enjoy', 'as', 'an', 'adult', 'a', 'short', 'but', 'good', 'anime', 'definitely', 'worth', 'checking', 'out', 'the', 'second', 'half', 'of', 'it', 'has', 'a', 'different', 'plot', 'the', 'main', 'focus', 'of', 'the', 'series', 'wraps', 'up', 'after', 'about', 'six', 'episodes', 'after', 'that', 'the', 'plot', 'changes', 'up', 'still', 'enjoyable', 'the', 'art', 'style', 'is', 'a', 'mix', 'of', '3d', 'and', '2d', 'animation', 'certainly', 'not', 'for', 'everyone', 'it', 'is', 'one', 'of', 'the', 'better', 'ones', 'for', 'animation', 'type', 'mostly', 'a', 'rather', 'light']",Recommended,20-Aug-24
